,No.,Company,Sector,Entry_valuation($B),Current_valuation($B),Entry,Location,Investors,Type,time_period,value_over_period,eval_rise_per_year,Year
68,69,Rebel Foods,Foodtech,1.4,1.4,Oct/2021,Mumbai,"Sequoia Capital India, Lightbox, Coatue Management, RTP Global, QIA, Evolvence India",U,1.67,0.0,0.0,2021-10-01
69,70,Cardekho,Marketplace,1.2,1.2,Oct/2021,Jaipur,"Sequoia Capital India, Hillhouse Capital, CapitalG, LeapFrog",U,1.67,0.0,0.0,2021-10-01
70,71,Acko,Fintech,1.1,1.1,Oct/2021,Bangalore,"Accel India, Elevation Capital, Amazon, General Atlantic, Multiples PE",U,1.67,0.0,0.0,2021-10-01
71,72,MyGlamm,D2C,1.2,1.2,Nov/2021,Mumbai,"Amazon, Ascent Capital, Bessemer, Accel India, Wipro Ventures, Kalaari Capital",U,1.58,0.0,0.0,2021-11-01
72,73,CureFit,Healthtech,1.5,1.5,Nov/2021,Bangalore,"Accel India, Kalaari Capital, Chiratae Ventures, Zomato, Temasek, Endiya Partners",U,1.58,0.0,0.0,2021-11-01
73,74,Mensa Brands,Aggregator,1.2,1.2,Nov/2021,Bangalore,"Tiger Global, Alpha Wave Global, Accel India, Norwest, Prosus Ventures",U,1.58,0.0,0.0,2021-11-01
74,75,NoBroker,Proptech,1.0,1.0,Nov/2021,Bangalore,"Tiger Global, General Atlantic, Elevation Capital, Beenext, Moore Strategic Ventures",U,1.58,0.0,0.0,2021-11-01
75,76,Spinny,Marketplace,1.5,1.8,Nov/2021,Gurgaon,"Tiger Global, Blume Ventures, General Catalyst Partners, Elevation Capital, Accel India",U,1.58,0.30000000000000004,0.19,2021-11-01
76,77,Upstox,Fintech,3.4,3.4,Nov/2021,Mumbai,"Tiger Global, Ratan Tata, Kalaari Capital",U,1.58,0.0,0.0,2021-11-01
77,78,Slice,Fintech,1.0,1.0,Nov/2021,Bangalore,"Tiger Global, Blume Ventures, Das Capital, Simile Venture Partners, Gunosy Capital",U,1.58,0.0,0.0,2021-11-01
