No.,Company,Sector,Entry Valuation^^ ($B),Valuation ($B),Entry,Location,Select Investors
1,InMobi,Adtech - Mobile Ads,1,1,Sep/2011,Bangalore/Singapore,"KPCB, Sherpalo Ventures, SoftBank"
2,Flipkart^,E-Commerce,1,37.6,Feb/2012,Bangalore/Singapore,"Accel, Tiger Global, Naspers, SoftBank, Tencent"
3,Mu Sigma,SaaS - Analytics,1,1.5,Feb/2013,Bangalore/Chicago,"Accel, Sequoia Capital, General Atlantic"
4,Snapdeal*,E-Commerce,1.8,2.4,Oct/2014,Delhi,"Kalaari Capital, Nexus Ventures, Bessemer, SoftBank, Alibaba"
5,PayTM^,Fintech - Payments & Wallet,1.7,16,Feb/2015,Noida,"Saama Capital, Elevation Capital, Alibaba, Berkshire Hathway"
6,Ola Cabs,Mobility - Ride Aggregator,1.6,7.3,Mar/2015,Bangalore,"Tiger Global, Matrix Partners, Steadview, SoftBank, Tencent"
7,Quikr*,Marketplace - Classifieds,1,1.5,Apr/2015,Bangalore,"Matrix Partners, Omidyar Network, Norwest, Kinnevik, Steadview Capital"
8,Zomato^,Foodtech,1,5.4,Sep/2015,Gurgaon,"Info Edge, Sequoia Capital, Vy Capital, Alibaba, Steadview Capital"
9,ShopClues*,E-Commerce,1.1,1.1,Jan/2016,Gurgaon,"Nexus Ventures, Helion Ventures, Beenos, Tiger Global, Others"
10,Hike*,Social Media - Messaging,1.4,1.4,Aug/2016,Delhi,"Tiger Global, Tencent, Foxconn"
11,BYJUS,Edtech,1,22,Jan/2018,Bangalore,"Aarin Capital, Sequoia Capital, Lightspeed Ventures, Tencent, General Atlantic, Tiger Global"
12,PayTM Mall*,E-Commerce,1.9,3,Apr/2018,Noida,"Elevation Capital, Alibaba, SoftBank, eBay"
13,Swiggy,Foodtech,1.4,10.7,Jun/2018,Bangalore,"Accel, Elevation Capital, Norwest, Naspers, Tencent, Invesco"
14,PolicyBazaar^,Fintech - Insurance,1,2.4,Jun/2018,Gurgaon,"Info Edge, Intel, Inventus Capital, Tiger Global, SoftBank, Tencent, Steadview Capital"
15,Freshworks^,SaaS - CRM,1.5,3.5,Jul/2018,Chennai/San Mateo,"Accel, Tiger Global, Google, Sequoia Capital, Steadview Capital"
16,OYO Rooms,Proptech - Hotel Booking,4.9,9.6,Sep/2018,Gurgaon,"Lightspeed Ventures, Sequoia Capital, SoftBank"
17,Udaan,B2B E-Commerce,1,3.1,Sep/2018,Bangalore,"Lightspeed Ventures, DST Global, Tencent"
18,BillDesk,Fintech - B2B Payments,1.6,1.6,Nov/2018,Mumbai,"SIDBI VC, TA Associates, General Atlantic"
19,Delhivery^,Logistics Services,1.6,3,Jan/2019,Gurgaon,"Nexus Ventures, Multiples PE, Tiger Global, Carlyle, SoftBank, Fosun Group, Steadview Capital"
20,Rivigo,Logistics Services - Trucks,1.1,1.1,Feb/2019,Gurgaon,"Elevation Capital, Warburg Pincus"
21,BigBasket,E-Commerce - Groceries,1.1,2,Mar/2019,Bangalore,"Ascent Capital, Helion Ventures, Bessemer, IFC, Alibaba"
22,Dream11,Gaming,1,8,Apr/2019,Mumbai,"Kalaari Capital, Tencent, Multiples PE, Steadview, Alpha Wave Global"
